Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
16.06.2017	4 055 787	132 642	1	3 570		
18.01.2017	2 073 953	132 642	1	2 975		
08.03.2017	4 341 401	132 642	1	2 975		
14.07.2017	3 101 027	35 866	1	2 070		
08.02.2017	2 661 498	74 275	1	11 920		
05.06.2017	2 910 644	96 757	1	5 780		
16.02.2017	3 784 304	124 332			1	5 240
15.02.2017	3 784 304	124 332	1	5 240		
01.06.2017	489 430	124 340	1	1 655		
21.03.2017	4 656 467	124 469	1	19 980		
22.03.2017	4 656 467	124 469			1	19 980
28.07.2017	4 601 594	131 462	1	2 215		
28.04.2017	412 604	131 462	1	2 415		
27.04.2017	4 319 308	131 462	1	2 415		
13.04.2017	4 633 099	131 479	1	3 255		
22.03.2017	3 157 041	131 479	1	2 715		
08.09.2017	4 785 632	131 539	1	11 340		
05.09.2017	1 753 324	138 549	1	6 195		
13.04.2017	1 129 725	65 764	1	7 135		
11.09.2017	1 266 586	96 252			2	26 265
07.09.2017	1 266 586	96 252	2	26 265		
11.09.2017	4 991 436	96 252	1	14 190		
16.02.2017	1 219 022	117 746	1	12 990		
12.07.2017	3 937 327	117 746	1	12 805		
18.07.2017	3 336 459	117 746	1	12 400		
04.04.2017	1 872 557	124 668	1	5 600		
28.02.2017	5 926 752	124 668	1	5 600		
24.08.2017	3 003 957	131 748	1	8 900		
07.09.2017	2 922 146	131 846	1	15 250		
16.02.2017	1 698 901	131 930	1	5 880		
15.06.2017	5 114 326	138 756	1	1 440		
07.09.2017	4 690 921	138 756	1	1 130		
11.05.2017	728 218	138 756	1	1 365		
09.06.2017	1 057 070	138 756	1	1 415		
13.04.2017	4 142 781	138 756	1	1 180		
14.04.2017	4 142 781	138 756			1	1 180
10.08.2017	3 225 821	138 759	1	1 200		
