
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
Строительное	PУТЕКТОР	17.11.2016 23:59:59	Дилер	187 836,00	187 836,00	4	4
Химическое	PУТЕКТОР	17.11.2016 23:59:59	Дилер	77 727,48	74 061,37	1	1
ЗЧ и РМ	PУТЕКТОР	17.11.2016 23:59:59	Розница	281 764,98	147 698,84	19	16
ЗЧ и РМ	Рутектор	17.11.2016 23:59:59	Розница	39 644,46	39 644,46	1	1
Компрессорное	PУТЕКТОР	17.11.2016 23:59:59	Розница	300 643,14	263 900,00	5	3
Насосное	PУТЕКТОР	17.11.2016 23:59:59	Розница	1 395 906,60	816 917,57	12	7
Подготовка поверхности	PУТЕКТОР	17.11.2016 23:59:59	Розница	29 600,00	29 600,00	1	1
Сварочное	PУТЕКТОР	17.11.2016 23:59:59	Розница	623 180,00	623 180,00	2	2
Строительное	PУТЕКТОР	17.11.2016 23:59:59	Розница	46 208,00	46 208,00	3	3
Химическое	PУТЕКТОР	17.11.2016 23:59:59	Розница	979 870,27	719 404,25	4	2
ЗЧ и РМ	PУТЕКТОР	18.11.2016 23:59:59	Дилер	105 040,57	86 252,83	8	6
Компрессорное	PУТЕКТОР	18.11.2016 23:59:59	Дилер	1 291 785,98	1 284 010,57	5	5
Насосное	PУТЕКТОР	18.11.2016 23:59:59	Дилер	831 117,47	820 243,64	9	9
Подготовка поверхности	PУТЕКТОР	18.11.2016 23:59:59	Дилер	15 610,00	15 610,00	1	1
Сварочное	PУТЕКТОР	18.11.2016 23:59:59	Дилер	358 472,75	8 740,24	3	2
Строительное	PУТЕКТОР	18.11.2016 23:59:59	Дилер	17 980,00	17 980,00	2	2
Химическое	PУТЕКТОР	18.11.2016 23:59:59	Дилер	29 953,81	29 331,27	1	1
Автосервис	PУТЕКТОР	18.11.2016 23:59:59	Розница	850,00	850,00	1	1
Дуговая сварка.	PУТЕКТОР	18.11.2016 23:59:59	Розница	25 700,84	25 700,32	2	2
ЗЧ и РМ	PУТЕКТОР	18.11.2016 23:59:59	Розница	498 136,47	306 307,81	17	12
ЗЧ и РМ	Рутектор	18.11.2016 23:59:59	Розница	10 057,81	10 057,81	1	1
Компрессорное	PУТЕКТОР	18.11.2016 23:59:59	Розница	1 497 344,41	1 268 004,69	6	3
Насосное	PУТЕКТОР	18.11.2016 23:59:59	Розница	2 919 904,38	1 824 046,29	17	7
Сварочное	PУТЕКТОР	18.11.2016 23:59:59	Розница	1 129 094,68	1 129 094,07	2	2
Строительное	PУТЕКТОР	18.11.2016 23:59:59	Розница	6 200,00	6 200,00	1	1
Химическое	PУТЕКТОР	18.11.2016 23:59:59	Розница	96 997,53	96 286,43	1	1
Дуговая сварка.	PУТЕКТОР	21.11.2016 23:59:59	Дилер	186 245,19	185 043,81	1	1
ЗЧ и РМ	PУТЕКТОР	21.11.2016 23:59:59	Дилер	261 909,82	245 360,90	12	10
Компрессорное	PУТЕКТОР	21.11.2016 23:59:59	Дилер	182 311,24	182 283,89	3	3
Насосное	PУТЕКТОР	21.11.2016 23:59:59	Дилер	360 593,94	350 752,23	6	6
Подготовка поверхности	PУТЕКТОР	21.11.2016 23:59:59	Дилер	35 736,26	35 736,26	2	2
Строительное	PУТЕКТОР	21.11.2016 23:59:59	Дилер	4 960,00	4 960,00	1	1
ЗЧ и РМ	PУТЕКТОР	21.11.2016 23:59:59	КПК	17 485,28		1	
ЗЧ и РМ	PУТЕКТОР	21.11.2016 23:59:59	Розница	348 201,27	221 818,79	22	13
Компрессорное	PУТЕКТОР	21.11.2016 23:59:59	Розница	390 502,99	390 181,49	4	4
Насосное	PУТЕКТОР	21.11.2016 23:59:59	Розница	1 848 315,90	304 014,18	11	6
Сварочное	PУТЕКТОР	21.11.2016 23:59:59	Розница	1 595 151,23	1 435 114,29	3	1
Дуговая сварка.	PУТЕКТОР	22.11.2016 23:59:59	Дилер	3 650,48		1	
ЗЧ и РМ	PУТЕКТОР	22.11.2016 23:59:59	Дилер	76 009,01	32 639,56	8	5
Компрессорное	PУТЕКТОР	22.11.2016 23:59:59	Дилер	582 199,69	576 646,10	5	5
Насосное	PУТЕКТОР	22.11.2016 23:59:59	Дилер	783 419,48	755 251,41	16	15
Подготовка поверхности	PУТЕКТОР	22.11.2016 23:59:59	Дилер	4 498,16	4 444,21	1	1
Сварочное	PУТЕКТОР	22.11.2016 23:59:59	Дилер	29 675,55	29 455,76	3	3
Строительное	PУТЕКТОР	22.11.2016 23:59:59	Дилер	19 840,00	19 840,00	2	2
Автосервис	PУТЕКТОР	22.11.2016 23:59:59	Розница	26 200,22	26 199,97	2	2
АТП	PУТЕКТОР	22.11.2016 23:59:59	Розница	265 222,73	263 920,23	2	2
Дуговая сварка.	PУТЕКТОР	22.11.2016 23:59:59	Розница	638 898,06	638 897,70	2	2
ЗЧ и РМ	PУТЕКТОР	22.11.2016 23:59:59	Розница	289 148,21	205 301,78	20	12
Компрессорное	PУТЕКТОР	22.11.2016 23:59:59	Розница	1 501 288,56	1 086 600,00	7	4
Насосное	PУТЕКТОР	22.11.2016 23:59:59	Розница	955 612,71	514 090,10	13	7
Сварочное	PУТЕКТОР	22.11.2016 23:59:59	Розница	1 075 102,16	596 716,52	6	4
Строительное	PУТЕКТОР	22.11.2016 23:59:59	Розница	180 567,82	180 567,67	4	4
Химическое	PУТЕКТОР	22.11.2016 23:59:59	Розница	116 846,89		1	
ЗЧ и РМ	PУТЕКТОР	23.11.2016 23:59:59	Дилер	294 431,77	248 721,22	16	11
Компрессорное	PУТЕКТОР	23.11.2016 23:59:59	Дилер	46 851,89	46 851,89	2	2
Насосное	PУТЕКТОР	23.11.2016 23:59:59	Дилер	675 062,49	675 896,84	12	12
Подготовка поверхности	PУТЕКТОР	23.11.2016 23:59:59	Дилер	17 470,00	17 470,00	1	1
Дуговая сварка.	PУТЕКТОР	23.11.2016 23:59:59	КПК	202 635,00		2	
ЗЧ и РМ	PУТЕКТОР	23.11.2016 23:59:59	КПК	214 329,58	214 329,58	2	2
Насосное	PУТЕКТОР	23.11.2016 23:59:59	КПК	2 144 801,80	2 144 801,80	1	1
НГО	PУТЕКТОР	23.11.2016 23:59:59	КПК	3 219 586,28	2 986 588,51	1	1
ЗЧ и РМ	PУТЕКТОР	23.11.2016 23:59:59	Розница	1 453 574,18	213 139,76	22	16
Компрессорное	PУТЕКТОР	23.11.2016 23:59:59	Розница	1 294 114,97	731 496,91	9	6
Насосное	PУТЕКТОР	23.11.2016 23:59:59	Розница	5 909 370,66	5 294 114,67	10	6
Подготовка поверхности	PУТЕКТОР	23.11.2016 23:59:59	Розница	77 607,65	77 607,65	1	1
Сварочное	PУТЕКТОР	23.11.2016 23:59:59	Розница	88 851,90		3	
Строительное	PУТЕКТОР	23.11.2016 23:59:59	Розница	28 683,30	28 683,30	3	3
Химическое	PУТЕКТОР	23.11.2016 23:59:59	Розница	1 225 339,67		1	
ЗЧ и РМ	PУТЕКТОР	24.11.2016 23:59:59	Дилер	166 472,10	92 144,23	15	11
Компрессорное	PУТЕКТОР	24.11.2016 23:59:59	Дилер	942 439,86	902 361,54	4	4
Насосное	PУТЕКТОР	24.11.2016 23:59:59	Дилер	1 215 797,85	1 200 316,01	13	13
Сварочное	PУТЕКТОР	24.11.2016 23:59:59	Дилер	69 469,52	69 481,11	2	2
Строительное	PУТЕКТОР	24.11.2016 23:59:59	Дилер	3 020,00	3 020,00	1	1
Химическое	PУТЕКТОР	24.11.2016 23:59:59	Дилер	133 317,79	126 853,67	1	1
Дуговая сварка.	PУТЕКТОР	24.11.2016 23:59:59	КПК	35 440,00		1	
ЗЧ и РМ	PУТЕКТОР	24.11.2016 23:59:59	КПК	62 159,83	56 927,19	3	2
Насосное	PУТЕКТОР	24.11.2016 23:59:59	КПК	8 854,00		1	
АТП	PУТЕКТОР	24.11.2016 23:59:59	Розница	101 740,73	101 086,22	1	1
Дуговая сварка.	PУТЕКТОР	24.11.2016 23:59:59	Розница	341 436,56	341 761,73	6	6
ЗЧ и РМ	PУТЕКТОР	24.11.2016 23:59:59	Розница	877 420,84	296 795,81	22	12
Компрессорное	PУТЕКТОР	24.11.2016 23:59:59	Розница	737 438,43	687 426,91	4	3
Насосное	PУТЕКТОР	24.11.2016 23:59:59	Розница	1 559 100,19	368 026,20	12	5
Подготовка поверхности	PУТЕКТОР	24.11.2016 23:59:59	Розница	23 063,00	23 063,00	1	1
Сварочное	PУТЕКТОР	24.11.2016 23:59:59	Розница	1 305 102,27	1 036 567,89	11	9
Строительное	PУТЕКТОР	24.11.2016 23:59:59	Розница	74 850,00	74 849,91	1	1
Химическое	PУТЕКТОР	24.11.2016 23:59:59	Розница	79 481,63		1	
ЗЧ и РМ	PУТЕКТОР	25.11.2016 23:59:59	Дилер	133 751,28	55 309,83	9	7
Компрессорное	PУТЕКТОР	25.11.2016 23:59:59	Дилер	37 106,89	33 430,98	3	2
Насосное	PУТЕКТОР	25.11.2016 23:59:59	Дилер	2 029 001,69	2 036 005,86	10	10
Сварочное	PУТЕКТОР	25.11.2016 23:59:59	Дилер	287 661,24	269 782,85	2	2
Строительное	PУТЕКТОР	25.11.2016 23:59:59	Дилер	24 020,00	24 020,00	2	2
Автосервис	PУТЕКТОР	25.11.2016 23:59:59	Розница	15 000,00	15 000,00	1	1
ЗЧ и РМ	PУТЕКТОР	25.11.2016 23:59:59	Розница	723 812,12	190 897,09	21	15
Компрессорное	PУТЕКТОР	25.11.2016 23:59:59	Розница	1 511 085,33	1 261 088,66	13	8
Металлообработка	PУТЕКТОР	25.11.2016 23:59:59	Розница	34 451,26	34 451,26	1	1
Насосное	PУТЕКТОР	25.11.2016 23:59:59	Розница	242 318,58	171 100,67	6	4
Подготовка поверхности	PУТЕКТОР	25.11.2016 23:59:59	Розница	1 965 073,99	1 968 031,78	4	4
Сварочное	PУТЕКТОР	25.11.2016 23:59:59	Розница	2 205,96	2 205,96	1	1
Строительное	PУТЕКТОР	25.11.2016 23:59:59	Розница	87 816,00	87 816,00	2	2
Дуговая сварка.	PУТЕКТОР	28.11.2016 23:59:59	Дилер	11 497,30	11 619,01	1	1
ЗЧ и РМ	PУТЕКТОР	28.11.2016 23:59:59	Дилер	609 046,58	110 580,69	14	10
Компрессорное	PУТЕКТОР	28.11.2016 23:59:59	Дилер	63 673,13	63 286,11	2	2
Насосное	PУТЕКТОР	28.11.2016 23:59:59	Дилер	389 355,79	388 712,47	8	8
Сварочное	PУТЕКТОР	28.11.2016 23:59:59	Дилер	26 887,25	23 755,12	3	2
Строительное	PУТЕКТОР	28.11.2016 23:59:59	Дилер	36 940,00	36 940,00	1	1
Химическое	PУТЕКТОР	28.11.2016 23:59:59	Дилер	97 247,98	96 295,49	1	1
ЗЧ и РМ	PУТЕКТОР	28.11.2016 23:59:59	КПК	74 530,89	54 000,00	2	1
Сварочное	PУТЕКТОР	28.11.2016 23:59:59	КПК	2 016 000,00	2 016 000,00	1	1
ЗЧ и РМ	PУТЕКТОР	28.11.2016 23:59:59	Розница	2 240 615,00	2 160 899,48	22	17
ЗЧ и РМ	Рутектор	28.11.2016 23:59:59	Розница	12 860,43	12 860,43	1	1
Компрессорное	PУТЕКТОР	28.11.2016 23:59:59	Розница	2 798 912,53	2 776 615,39	5	4
Компрессорное	Рутектор	28.11.2016 23:59:59	Розница	349 025,13	352 720,08	1	1
Насосное	PУТЕКТОР	28.11.2016 23:59:59	Розница	1 107 619,35	542 012,61	11	7
Подготовка поверхности	PУТЕКТОР	28.11.2016 23:59:59	Розница	48 500,00	48 500,00	2	2
Сварочное	PУТЕКТОР	28.11.2016 23:59:59	Розница	531 065,49	35 171,22	6	3
Строительное	PУТЕКТОР	28.11.2016 23:59:59	Розница	86 430,00	86 430,00	1	1
Химическое	PУТЕКТОР	28.11.2016 23:59:59	Розница	196 527,00	196 527,00	3	3
Дуговая сварка.	PУТЕКТОР	29.11.2016 23:59:59	Дилер	4 370,92	4 370,92	1	1
ЗЧ и РМ	PУТЕКТОР	29.11.2016 23:59:59	Дилер	355 446,92	165 919,42	10	4
Компрессорное	PУТЕКТОР	29.11.2016 23:59:59	Дилер	132 177,96	77 461,32	3	2
Насосное	PУТЕКТОР	29.11.2016 23:59:59	Дилер	836 063,79	482 958,91	10	10
Подготовка поверхности	PУТЕКТОР	29.11.2016 23:59:59	Дилер	83 720,00	83 720,00	2	2
Сварочное	PУТЕКТОР	29.11.2016 23:59:59	Дилер	8 068,31	6 553,72	2	1
Строительное	PУТЕКТОР	29.11.2016 23:59:59	Дилер	17 840,00	17 840,00	1	1
ЗЧ и РМ	PУТЕКТОР	29.11.2016 23:59:59	КПК	9 980,00		1	
Насосное	PУТЕКТОР	29.11.2016 23:59:59	КПК	77 287,84	77 287,84	1	1
Автосервис	PУТЕКТОР	29.11.2016 23:59:59	Розница	162 160,00	162 159,87	2	2
АТП	PУТЕКТОР	29.11.2016 23:59:59	Розница	4 108,15	4 089,19	1	1
Дуговая сварка.	PУТЕКТОР	29.11.2016 23:59:59	Розница	888 860,10	888 860,10	2	2
ЗЧ и РМ	PУТЕКТОР	29.11.2016 23:59:59	Розница	1 509 852,94	409 777,21	34	20
ЗЧ и РМ	Рутектор	29.11.2016 23:59:59	Розница	5 000,00		1	
Компрессорное	PУТЕКТОР	29.11.2016 23:59:59	Розница	337 207,31	260 881,45	5	4
Насосное	PУТЕКТОР	29.11.2016 23:59:59	Розница	712 743,92	443 391,05	10	5
Подготовка поверхности	PУТЕКТОР	29.11.2016 23:59:59	Розница	51 033,00	51 032,95	2	2
Сварочное	PУТЕКТОР	29.11.2016 23:59:59	Розница	268 025,88	42 159,71	4	3
Строительное	PУТЕКТОР	29.11.2016 23:59:59	Розница	34 108,00	34 108,00	2	2
Химическое	PУТЕКТОР	29.11.2016 23:59:59	Розница	65 644,66	65 481,12	2	2
ЗЧ и РМ	PУТЕКТОР	30.11.2016 23:59:59	Дилер	44 818,02	32 268,39	13	11
Компрессорное	PУТЕКТОР	30.11.2016 23:59:59	Дилер	10 460,00	10 460,00	1	1
Насосное	PУТЕКТОР	30.11.2016 23:59:59	Дилер	328 745,77	324 935,26	11	11
Подготовка поверхности	PУТЕКТОР	30.11.2016 23:59:59	Дилер	30 824,51	30 658,50	1	1
Сварочное	PУТЕКТОР	30.11.2016 23:59:59	Дилер	3 689,91	3 716,71	1	1
Строительное	PУТЕКТОР	30.11.2016 23:59:59	Дилер	13 380,00	13 380,00	1	1
Химическое	PУТЕКТОР	30.11.2016 23:59:59	Дилер	84 055,59	82 559,38	1	1
Дуговая сварка.	PУТЕКТОР	30.11.2016 23:59:59	Розница	51 477,70	51 477,70	2	2
ЗЧ и РМ	PУТЕКТОР	30.11.2016 23:59:59	Розница	1 994 007,69	1 582 675,90	28	23
ЗЧ и РМ	Рутектор	30.11.2016 23:59:59	Розница	200,00	200,00	1	1
Компрессорное	PУТЕКТОР	30.11.2016 23:59:59	Розница	990 596,45	834 629,98	11	8
Насосное	PУТЕКТОР	30.11.2016 23:59:59	Розница	1 348 962,62	1 084 366,03	6	3
Подготовка поверхности	PУТЕКТОР	30.11.2016 23:59:59	Розница	18 552,83	18 552,83	1	1
Сварочное	PУТЕКТОР	30.11.2016 23:59:59	Розница	409 683,91	16 049,16	4	2
Химическое	PУТЕКТОР	30.11.2016 23:59:59	Розница	434 627,31	391 084,59	2	2
ЗЧ и РМ	PУТЕКТОР	01.12.2016 23:59:59	Дилер	147 503,69	109 280,46	8	5
Компрессорное	PУТЕКТОР	01.12.2016 23:59:59	Дилер	34 729,38	34 642,67	2	2
Насосное	PУТЕКТОР	01.12.2016 23:59:59	Дилер	2 980 906,79	2 805 847,41	15	15
Строительное	PУТЕКТОР	01.12.2016 23:59:59	Дилер	67 247,50	67 247,50	2	2
Химическое	PУТЕКТОР	01.12.2016 23:59:59	Дилер	274 731,82	267 895,38	1	1
Дуговая сварка.	PУТЕКТОР	01.12.2016 23:59:59	Розница	2 235 493,91	2 033 299,09	1	1
ЗЧ и РМ	PУТЕКТОР	01.12.2016 23:59:59	Розница	64 818,69	41 453,01	14	10
Компрессорное	PУТЕКТОР	01.12.2016 23:59:59	Розница	793 870,40	396 108,40	6	4
Насосное	PУТЕКТОР	01.12.2016 23:59:59	Розница	344 495,11		5	
Подготовка поверхности	PУТЕКТОР	01.12.2016 23:59:59	Розница	15 000,00	15 000,00	1	1
Сварочное	PУТЕКТОР	01.12.2016 23:59:59	Розница	58 450,82	58 450,82	1	1
Строительное	PУТЕКТОР	01.12.2016 23:59:59	Розница	56 772,00	5 577,00	4	1
Строительное	Рутектор	01.12.2016 23:59:59	Розница	201,00	201,00	1	1
Химическое	PУТЕКТОР	01.12.2016 23:59:59	Розница	62 015,75		1	
Дуговая сварка.	PУТЕКТОР	02.12.2016 23:59:59	Дилер	14 931,09	14 931,09	1	1
ЗЧ и РМ	PУТЕКТОР	02.12.2016 23:59:59	Дилер	299 791,26	290 190,89	10	8
Насосное	PУТЕКТОР	02.12.2016 23:59:59	Дилер	893 140,24	896 547,36	10	10
Сварочное	PУТЕКТОР	02.12.2016 23:59:59	Дилер	649 366,45	621 958,32	2	2
Химическое	PУТЕКТОР	02.12.2016 23:59:59	Дилер	543 830,33	545 312,23	2	2
НГО	PУТЕКТОР	02.12.2016 23:59:59	КПК	4 985 343,67		1	
Дуговая сварка.	PУТЕКТОР	02.12.2016 23:59:59	Розница	336 794,26	315 919,79	1	1
ЗЧ и РМ	PУТЕКТОР	02.12.2016 23:59:59	Розница	238 842,60	175 402,24	18	11
ЗЧ и РМ	Рутектор	02.12.2016 23:59:59	Розница	1 030 676,76		1	
Компрессорное	PУТЕКТОР	02.12.2016 23:59:59	Розница	1 283 439,76	775 882,18	6	4
Насосное	PУТЕКТОР	02.12.2016 23:59:59	Розница	1 195 472,38	829 470,14	9	5
Насосное	Рутектор	02.12.2016 23:59:59	Розница	50 553,25		1	
Подготовка поверхности	PУТЕКТОР	02.12.2016 23:59:59	Розница	216 292,05	156 742,76	2	1
Сварочное	PУТЕКТОР	02.12.2016 23:59:59	Розница	134 385,79	9 371,60	3	1
Строительное	PУТЕКТОР	02.12.2016 23:59:59	Розница	501 167,11	502 786,97	1	1
Химическое	PУТЕКТОР	02.12.2016 23:59:59	Розница	46 285,99		1	
